Iteracion	Magnetizacion	Energia
21400	-0.091797	-1.527344
21500	-0.085938	-1.523438
21600	-0.080078	-1.488281
21700	-0.093750	-1.468750
21800	-0.089844	-1.476562
21900	-0.097656	-1.503906
22000	-0.109375	-1.523438
22100	-0.113281	-1.531250
22200	-0.113281	-1.507812
22300	-0.109375	-1.488281
22400	-0.101562	-1.500000
22500	-0.103516	-1.500000
22600	-0.115234	-1.464844
22700	-0.117188	-1.472656
22800	-0.126953	-1.472656
22900	-0.119141	-1.480469
23000	-0.107422	-1.468750
23100	-0.107422	-1.453125
23200	-0.113281	-1.453125
23300	-0.119141	-1.468750
23400	-0.111328	-1.468750
23500	-0.119141	-1.484375
23600	-0.119141	-1.484375
23700	-0.115234	-1.500000
23800	-0.126953	-1.503906
23900	-0.123047	-1.511719
24000	-0.119141	-1.492188
24100	-0.111328	-1.500000
24200	-0.117188	-1.496094
24300	-0.105469	-1.503906
24400	-0.101562	-1.496094
24500	-0.085938	-1.496094
24600	-0.078125	-1.464844
24700	-0.083984	-1.464844
24800	-0.087891	-1.476562
24900	-0.097656	-1.472656
25000	-0.082031	-1.480469
25100	-0.083984	-1.453125
25200	-0.093750	-1.476562
25300	-0.091797	-1.484375
25400	-0.093750	-1.492188
25500	-0.085938	-1.472656
25600	-0.083984	-1.484375
25700	-0.080078	-1.500000
25800	-0.070312	-1.484375
25900	-0.074219	-1.488281
26000	-0.080078	-1.488281
26100	-0.080078	-1.464844
26200	-0.078125	-1.453125
26300	-0.068359	-1.449219
26400	-0.066406	-1.437500
26500	-0.048828	-1.433594
26600	-0.056641	-1.425781
26700	-0.054688	-1.421875
26800	-0.050781	-1.464844
26900	-0.060547	-1.445312
27000	-0.048828	-1.453125
27100	-0.050781	-1.457031
27200	-0.046875	-1.425781
27300	-0.054688	-1.421875
27400	-0.060547	-1.406250
27500	-0.066406	-1.414062
27600	-0.068359	-1.433594
27700	-0.068359	-1.472656
27800	-0.058594	-1.453125
27900	-0.052734	-1.445312
28000	-0.039062	-1.472656
28100	-0.023438	-1.484375
28200	-0.027344	-1.484375
28300	-0.037109	-1.464844
28400	-0.023438	-1.457031
28500	-0.021484	-1.468750
28600	-0.027344	-1.476562
28700	-0.017578	-1.464844
28800	-0.009766	-1.472656
28900	-0.011719	-1.515625
29000	-0.017578	-1.503906
29100	-0.021484	-1.468750
29200	-0.023438	-1.460938
29300	-0.007812	-1.484375
29400	-0.017578	-1.488281
29500	-0.011719	-1.488281
29600	-0.009766	-1.500000
29700	-0.007812	-1.492188
29800	-0.011719	-1.500000
29900	-0.011719	-1.507812
30000	-0.005859	-1.531250
30100	0.001953	-1.531250
30200	0.005859	-1.531250
30300	0.017578	-1.515625
30400	0.011719	-1.503906
30500	0.007812	-1.500000
30600	-0.001953	-1.503906
30700	0.001953	-1.484375
30800	0.000000	-1.480469
30900	0.001953	-1.480469
31000	-0.001953	-1.476562
31100	0.001953	-1.468750
31200	0.009766	-1.460938
31300	0.013672	-1.453125
31400	0.011719	-1.453125
31500	0.009766	-1.425781
31600	0.017578	-1.425781
31700	0.025391	-1.445312
31800	0.033203	-1.464844
31900	0.019531	-1.460938
32000	0.019531	-1.480469
32100	0.021484	-1.472656
32200	0.029297	-1.464844
32300	0.039062	-1.453125
32400	0.039062	-1.453125
32500	0.021484	-1.453125
32600	0.023438	-1.449219
32700	0.037109	-1.476562
32800	0.035156	-1.476562
32900	0.044922	-1.476562
33000	0.041016	-1.492188
33100	0.039062	-1.503906
33200	0.042969	-1.507812
33300	0.048828	-1.511719
33400	0.046875	-1.527344
33500	0.052734	-1.531250
33600	0.039062	-1.527344
33700	0.046875	-1.550781
33800	0.046875	-1.531250
33900	0.048828	-1.515625
34000	0.054688	-1.507812
34100	0.064453	-1.527344
34200	0.054688	-1.523438
34300	0.048828	-1.523438
34400	0.041016	-1.523438
34500	0.058594	-1.531250
34600	0.062500	-1.542969
34700	0.062500	-1.515625
34800	0.066406	-1.519531
34900	0.056641	-1.527344
35000	0.054688	-1.542969
35100	0.054688	-1.531250
35200	0.042969	-1.515625
35300	0.046875	-1.503906
35400	0.050781	-1.492188
35500	0.046875	-1.496094
35600	0.042969	-1.480469
35700	0.048828	-1.480469
35800	0.056641	-1.464844
35900	0.052734	-1.464844
36000	0.056641	-1.460938
36100	0.050781	-1.433594
36200	0.064453	-1.417969
36300	0.060547	-1.429688
36400	0.060547	-1.437500
36500	0.062500	-1.417969
36600	0.072266	-1.425781
36700	0.074219	-1.437500
36800	0.068359	-1.433594
36900	0.060547	-1.441406
37000	0.062500	-1.425781
37100	0.050781	-1.425781
37200	0.048828	-1.437500
37300	0.054688	-1.417969
37400	0.050781	-1.425781
37500	0.041016	-1.406250
37600	0.029297	-1.429688
37700	0.035156	-1.457031
37800	0.021484	-1.460938
37900	0.023438	-1.445312
38000	0.035156	-1.441406
38100	0.027344	-1.425781
38200	0.017578	-1.414062
38300	0.023438	-1.449219
38400	0.017578	-1.449219
38500	0.023438	-1.445312
38600	0.017578	-1.468750
38700	0.019531	-1.492188
38800	0.033203	-1.472656
38900	0.025391	-1.468750
39000	0.021484	-1.453125
39100	0.037109	-1.437500
39200	0.039062	-1.425781
39300	0.029297	-1.472656
39400	0.033203	-1.492188
39500	0.025391	-1.480469
39600	0.031250	-1.488281
39700	0.029297	-1.500000
39800	0.029297	-1.519531
39900	0.025391	-1.492188
40000	0.037109	-1.500000
40100	0.027344	-1.503906
40200	0.017578	-1.507812
40300	0.031250	-1.523438
40400	0.037109	-1.527344
40500	0.031250	-1.527344
40600	0.027344	-1.515625
40700	0.011719	-1.535156
40800	0.021484	-1.531250
40900	0.011719	-1.531250
41000	0.015625	-1.535156
41100	0.011719	-1.507812
41200	0.021484	-1.511719
41300	0.015625	-1.539062
41400	0.007812	-1.531250
41500	0.009766	-1.531250
41600	-0.001953	-1.527344
41700	0.000000	-1.546875
41800	-0.005859	-1.539062
41900	-0.007812	-1.523438
42000	-0.007812	-1.519531
42100	-0.009766	-1.515625
42200	-0.001953	-1.523438
42300	0.007812	-1.523438
42400	0.017578	-1.507812
42500	0.017578	-1.507812
42600	0.017578	-1.511719
42700	0.009766	-1.515625
42800	0.003906	-1.503906
42900	-0.003906	-1.531250
43000	-0.005859	-1.523438
43100	-0.017578	-1.523438
43200	-0.021484	-1.539062
43300	-0.015625	-1.535156
43400	-0.029297	-1.566406
43500	-0.025391	-1.574219
43600	-0.031250	-1.562500
43700	-0.042969	-1.582031
43800	-0.044922	-1.562500
43900	-0.041016	-1.542969
44000	-0.041016	-1.542969
44100	-0.046875	-1.531250
44200	-0.052734	-1.550781
44300	-0.054688	-1.554688
44400	-0.054688	-1.550781
44500	-0.056641	-1.527344
44600	-0.058594	-1.527344
44700	-0.060547	-1.531250
44800	-0.072266	-1.515625
44900	-0.068359	-1.511719
45000	-0.062500	-1.496094
45100	-0.066406	-1.492188
45200	-0.078125	-1.515625
45300	-0.091797	-1.496094
45400	-0.091797	-1.515625
45500	-0.085938	-1.511719
45600	-0.085938	-1.488281
45700	-0.091797	-1.476562
45800	-0.097656	-1.503906
45900	-0.095703	-1.476562
46000	-0.083984	-1.488281
46100	-0.083984	-1.492188
46200	-0.089844	-1.519531
46300	-0.093750	-1.515625
46400	-0.099609	-1.527344
46500	-0.107422	-1.535156
46600	-0.107422	-1.546875
46700	-0.119141	-1.539062
46800	-0.113281	-1.562500
46900	-0.121094	-1.546875
47000	-0.126953	-1.550781
47100	-0.128906	-1.554688
47200	-0.136719	-1.566406
47300	-0.142578	-1.578125
47400	-0.146484	-1.578125
47500	-0.142578	-1.570312
47600	-0.138672	-1.578125
47700	-0.142578	-1.570312
47800	-0.146484	-1.558594
47900	-0.136719	-1.558594
48000	-0.130859	-1.558594
48100	-0.142578	-1.542969
48200	-0.144531	-1.539062
48300	-0.148438	-1.535156
48400	-0.144531	-1.527344
48500	-0.148438	-1.550781
48600	-0.138672	-1.546875
48700	-0.140625	-1.542969
48800	-0.136719	-1.554688
48900	-0.138672	-1.566406
49000	-0.146484	-1.554688
49100	-0.146484	-1.542969
49200	-0.148438	-1.535156
49300	-0.144531	-1.531250
49400	-0.138672	-1.523438
49500	-0.146484	-1.488281
49600	-0.138672	-1.503906
49700	-0.136719	-1.484375
49800	-0.142578	-1.503906
49900	-0.130859	-1.496094
50000	-0.125000	-1.523438
50100	-0.109375	-1.531250
50200	-0.105469	-1.539062
50300	-0.097656	-1.531250
50400	-0.099609	-1.531250
50500	-0.109375	-1.535156
50600	-0.093750	-1.496094
50700	-0.099609	-1.480469
50800	-0.093750	-1.484375
50900	-0.105469	-1.503906
51000	-0.109375	-1.511719
51100	-0.109375	-1.519531
51200	-0.111328	-1.535156
51300	-0.107422	-1.550781
51400	-0.103516	-1.527344
51500	-0.111328	-1.523438
51600	-0.109375	-1.523438
51700	-0.113281	-1.511719
51800	-0.093750	-1.519531
51900	-0.078125	-1.531250
52000	-0.085938	-1.519531
52100	-0.093750	-1.492188
52200	-0.099609	-1.460938
52300	-0.105469	-1.453125
52400	-0.103516	-1.464844
52500	-0.099609	-1.480469
52600	-0.097656	-1.488281
52700	-0.095703	-1.488281
52800	-0.095703	-1.496094
52900	-0.089844	-1.464844
53000	-0.076172	-1.460938
53100	-0.058594	-1.460938
53200	-0.062500	-1.480469
53300	-0.060547	-1.460938
53400	-0.070312	-1.472656
53500	-0.080078	-1.453125
53600	-0.064453	-1.445312
53700	-0.060547	-1.437500
53800	-0.064453	-1.437500
53900	-0.062500	-1.468750
54000	-0.060547	-1.457031
54100	-0.056641	-1.449219
54200	-0.060547	-1.449219
54300	-0.058594	-1.457031
54400	-0.062500	-1.460938
54500	-0.076172	-1.464844
54600	-0.064453	-1.472656
54700	-0.054688	-1.476562
54800	-0.054688	-1.453125
54900	-0.050781	-1.457031
55000	-0.060547	-1.453125
55100	-0.076172	-1.445312
55200	-0.072266	-1.457031
55300	-0.064453	-1.480469
55400	-0.058594	-1.449219
55500	-0.060547	-1.460938
55600	-0.060547	-1.468750
55700	-0.050781	-1.468750
55800	-0.023438	-1.460938
55900	-0.039062	-1.445312
56000	-0.027344	-1.468750
56100	-0.035156	-1.472656
56200	-0.046875	-1.453125
56300	-0.044922	-1.464844
56400	-0.042969	-1.464844
56500	-0.031250	-1.457031
56600	-0.029297	-1.464844
56700	-0.037109	-1.476562
56800	-0.033203	-1.488281
56900	-0.031250	-1.476562
57000	-0.021484	-1.496094
